Correct,Wrong,Tie,Percent,week
9,7,0,0.5625,1
7,9,0,0.4375,1
8,8,0,0.5,1
7,9,0,0.4375,1
8,8,0,0.5,1
11,5,0,0.6875,1
11,5,0,0.6875,1
7,9,0,0.4375,1
8,8,0,0.5,2
11,5,0,0.6875,2
9,7,0,0.5625,2
7,9,0,0.4375,2
11,5,0,0.6875,2
8,8,0,0.5,2
10,6,0,0.625,2
11,5,0,0.6875,2
12,4,0,0.75,3
9,7,0,0.5625,3
11,5,0,0.6875,3
11,5,0,0.6875,3
11,5,0,0.6875,3
9,7,0,0.5625,3
7,9,0,0.4375,3
11,5,0,0.6875,3
10,6,0,0.625,4
10,6,0,0.625,4
14,2,0,0.875,4
12,4,0,0.75,4
13,3,0,0.8125,4
12,4,0,0.75,4
9,7,0,0.5625,4
10,6,0,0.625,4
9,5,0,0.6428571428571429,5
9,5,0,0.6428571428571429,5
8,6,0,0.5714285714285714,5
7,7,0,0.5,5
6,8,0,0.42857142857142855,5
7,7,0,0.5,5
7,7,0,0.5,5
7,7,0,0.5,5
8,7,0,0.5333333333333333,6
8,7,0,0.5333333333333333,6
11,4,0,0.7333333333333333,6
10,5,0,0.6666666666666666,6
9,6,0,0.6,6
9,6,0,0.6,6
9,6,0,0.6,6
9,6,0,0.6,6
6,7,0,0.46153846153846156,7
5,8,0,0.38461538461538464,7
7,6,0,0.5384615384615384,7
4,9,0,0.3076923076923077,7
4,9,0,0.3076923076923077,7
4,9,0,0.3076923076923077,7
7,6,0,0.5384615384615384,7
4,9,0,0.3076923076923077,7
11,5,0,0.6875,8
9,7,0,0.5625,8
10,6,0,0.625,8
12,4,0,0.75,8
11,5,0,0.6875,8
13,3,0,0.8125,8
12,4,0,0.75,8
11,5,0,0.6875,8
8,6,0,0.5714285714285714,9
7,7,0,0.5,9
11,3,0,0.7857142857142857,9
9,5,0,0.6428571428571429,9
10,4,0,0.7142857142857143,9
10,4,0,0.7142857142857143,9
8,6,0,0.5714285714285714,9
11,3,0,0.7857142857142857,9
8,6,0,0.5714285714285714,10
7,7,0,0.5,10
9,5,0,0.6428571428571429,10
6,8,0,0.42857142857142855,10
7,7,0,0.5,10
10,4,0,0.7142857142857143,10
10,4,0,0.7142857142857143,10
10,4,0,0.7142857142857143,10
10,4,0,0.7142857142857143,11
9,5,0,0.6428571428571429,11
10,4,0,0.7142857142857143,11
8,6,0,0.5714285714285714,11
11,3,0,0.7857142857142857,11
10,4,0,0.7142857142857143,11
9,5,0,0.6428571428571429,11
10,4,0,0.7142857142857143,11
9,7,0,0.5625,12
14,2,0,0.875,12
10,6,0,0.625,12
10,6,0,0.625,12
8,8,0,0.5,12
12,4,0,0.75,12
12,4,0,0.75,12
11,5,0,0.6875,12
8,5,0,0.6153846153846154,13
6,7,0,0.46153846153846156,13
10,3,0,0.7692307692307693,13
8,5,0,0.6153846153846154,13
9,4,0,0.6923076923076923,13
9,4,0,0.6923076923076923,13
10,3,0,0.7692307692307693,13
9,4,0,0.6923076923076923,13
8,7,0,0.5333333333333333,14
8,7,0,0.5333333333333333,14
7,8,0,0.4666666666666667,14
7,8,0,0.4666666666666667,14
7,8,0,0.4666666666666667,14
6,9,0,0.4,14
10,5,0,0.6666666666666666,14
8,7,0,0.5333333333333333,14
12,4,0,0.75,15
12,4,0,0.75,15
11,5,0,0.6875,15
8,8,0,0.5,15
11,5,0,0.6875,15
9,7,0,0.5625,15
10,6,0,0.625,15
11,5,0,0.6875,15
10,6,0,0.625,16
8,8,0,0.5,16
9,7,0,0.5625,16
12,4,0,0.75,16
8,8,0,0.5,16
11,5,0,0.6875,16
10,6,0,0.625,16
12,4,0,0.75,16
12,4,0,0.75,17
12,4,0,0.75,17
12,4,0,0.75,17
10,6,0,0.625,17
11,5,0,0.6875,17
12,4,0,0.75,17
11,5,0,0.6875,17
12,4,0,0.75,17
10,6,0,0.625,18
12,4,0,0.75,18
12,4,0,0.75,18
11,5,0,0.6875,18
9,7,0,0.5625,18
12,4,0,0.75,18
11,5,0,0.6875,18
10,6,0,0.625,18
3,3,0,0.5,19
3,3,0,0.5,19
3,3,0,0.5,19
5,1,0,0.8333333333333334,19
3,3,0,0.5,19
4,2,0,0.6666666666666666,19
3,3,0,0.5,19
4,2,0,0.6666666666666666,19
1,3,0,0.25,20
3,1,0,0.75,20
4,0,0,1,20
3,1,0,0.75,20
2,2,0,0.5,20
4,0,0,1,20
4,0,0,1,20
3,1,0,0.75,20
2,0,0,1,21
1,1,0,0.5,21
2,0,0,1,21
1,1,0,0.5,21
0,2,0,0,21
1,1,0,0.5,21
1,1,0,0.5,21
1,1,0,0.5,21
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
1,0,0,1,22
