team,odds,week
Giants,418,3
49ers,-571,3
Bills,-280,3
Commanders,227,3
Falcons,152,3
Lions,-182,3
Broncos,228,3
Dolphins,-282,3
Colts,298,3
Ravens,-377,3
Texans,334,3
Jaguars,-432,3
Chargers,-110,3
Vikings,-110,3
Patriots,-154,3
Jets,130,3
Saints,105,3
Packers,-125,3
Titans,155,3
Browns,-190,3
Panthers,180,3
Seahawks,-220,3
Bears,538,3
Chiefs,-779,3
Cowboys,-705,3
Cardinals,492,3
Steelers,-110,3
Raiders,-110,3
Eagles,-235,3
Buccaneers,191,3
Rams,112,3
Bengals,-132,3
Lions,NA,3
Bengals,NA,3
Broncos,NA,3
Ravens,NA,3
